feature,importance
num__Age,0.3893491040872846
num__NumOfProducts,0.28973699695588606
num__EngagementProductInteraction,0.08374588610042587
num__Balance,0.06261850594327442
cat__Geography_Germany,0.0508142653652188
num__IsActiveMember,0.03973328016648866
num__BalanceSalaryRatio,0.024659412352305628
num__CreditScore,0.015860749117985976
num__EstimatedSalary,0.014457499015170275
cat__Gender_Male,0.009575459664402791
num__AgeTenureInteraction,0.009515301699665343
cat__Gender_Female,0.003666506943986808
num__ProductDensity,0.00313596207275682
cat__Geography_France,0.00160958505658553
num__HasCrCard,0.0010338994925795542
num__Tenure,0.00043685337704790084
cat__Geography_Spain,5.073258893487051e-05
